cust_no,dubil_num_3,dubil_num_6,dubil_num_9,dubil_num_12,count_loan_3,count_loan_6,count_loan_9,count_loan_12,count_payoff_loan_3,count_payoff_loan_6,count_payoff_loan_9,count_payoff_loan_12,count_nopayoff_loan_3,count_nopayoff_loan_6,count_nopayoff_loan_9,count_nopayoff_loan_12,count_earlypayoff_loan_3,count_earlypayoff_loan_6,count_earlypayoff_loan_9,count_earlypayoff_loan_12,count_normalpayoff_loan_3,count_normalpayoff_loan_6,count_normalpayoff_loan_9,count_normalpayoff_loan_12,count_ovduepayoff_loan_3,count_ovduepayoff_loan_6,count_ovduepayoff_loan_9,count_ovduepayoff_loan_12,ovdue_payoff_trade_max_3,ovdue_payoff_trade_max_6,ovdue_payoff_trade_max_9,ovdue_payoff_trade_max_12,ovdue_payoff_trade_min_3,ovdue_payoff_trade_min_6,ovdue_payoff_trade_min_9,ovdue_payoff_trade_min_12,early_payoff_trade_max_3,early_payoff_trade_max_6,early_payoff_trade_max_9,early_payoff_trade_max_12,early_payoff_trade_min_3,early_payoff_trade_min_6,early_payoff_trade_min_9,early_payoff_trade_min_12,obj_date,lon_amt_12,lon_amt_9,lon_amt_6,lon_amt_3,sum_amt_12,sum_amt_9,sum_amt_6,sum_amt_3,sum_payoff_amt_12,sum_payoff_amt_9,sum_payoff_amt_6,sum_payoff_amt_3,sum_nopayoff_amt_12,sum_nopayoff_amt_9,sum_nopayoff_amt_6,sum_nopayoff_amt_3,sum_earlypayoff_amt_12,sum_earlypayoff_amt_9,sum_earlypayoff_amt_6,sum_earlypayoff_amt_3,sum_normalpayoff_amt_12,sum_normalpayoff_amt_9,sum_normalpayoff_amt_6,sum_normalpayoff_amt_3,sum_ovduepayoff_amt_12,sum_ovduepayoff_amt_9,sum_ovduepayoff_amt_6,sum_ovduepayoff_amt_3,count_nopayoff_loan_rate_12,count_nopayoff_loan_rate_9,count_nopayoff_loan_rate_6,count_nopayoff_loan_rate_3,sum_nopayoff_amt_loan_rate_12,sum_nopayoff_amt_loan_rate_9,sum_nopayoff_amt_loan_rate_6,sum_nopayoff_amt_loan_rate_3,count_earlypayoff_loan_rate_12,count_earlypayoff_loan_rate_9,count_earlypayoff_loan_rate_6,count_earlypayoff_loan_rate_3,sum_earlypayoff_amt_rate_12,sum_earlypayoff_amt_rate_9,sum_earlypayoff_amt_rate_6,sum_earlypayoff_amt_rate_3,count_normalpayoff_loan_rate_12,count_normalpayoff_loan_rate_9,count_normalpayoff_loan_rate_6,count_normalpayoff_loan_rate_3,sum_normalpayoff_amt_rate_12,sum_normalpayoff_amt_rate_9,sum_normalpayoff_amt_rate_6,sum_normalpayoff_amt_rate_3,count_ovduepayoff_loan_rate_12,count_ovduepayoff_loan_rate_9,count_ovduepayoff_loan_rate_6,count_ovduepayoff_loan_rate_3,sum_ovduepayoff_amt_rate_12,sum_ovduepayoff_amt_rate_9,sum_ovduepayoff_amt_rate_6,sum_ovduepayoff_amt_rate_3,
3000642320,16.00 ,16.00 ,16.00 ,16.00 ,16.00 ,16.00 ,16.00 ,16.00 ,0.00 ,0.00 ,0.00 ,0.00 ,16.00 ,16.00 ,16.00 ,16.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,377000.00 ,377000.00 ,377000.00 ,377000.00 ,377000.00 ,377000.00 ,377000.00 ,377000.00 ,,,,,377000.00 ,377000.00 ,377000.00 ,377000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000638810,22.00 ,22.00 ,22.00 ,22.00 ,22.00 ,22.00 ,22.00 ,22.00 ,0.00 ,0.00 ,0.00 ,0.00 ,22.00 ,22.00 ,22.00 ,22.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,1200000.00 ,1200000.00 ,1200000.00 ,1200000.00 ,1200000.00 ,1200000.00 ,1200000.00 ,1200000.00 ,,,,,1200000.00 ,1200000.00 ,1200000.00 ,1200000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000387327,93.00 ,185.00 ,276.00 ,281.00 ,93.00 ,185.00 ,276.00 ,281.00 ,93.00 ,140.00 ,140.00 ,140.00 ,0.00 ,45.00 ,136.00 ,141.00 ,93.00 ,140.00 ,140.00 ,140.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,225.00 ,225.00 ,225.00 ,225.00 ,225.00 ,225.00 ,225.00 ,225.00 ,20191231,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,321000.00 ,,321000.00 ,321000.00 ,321000.00 ,321000.00 ,,,,,,,,,0.50 ,0.49 ,0.24 ,0.00 ,1.00 ,1.00 ,1.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,0.00 ,0.00 ,0.00 ,0.00 ,,,,,
3000426777,93.00 ,185.00 ,241.00 ,241.00 ,93.00 ,185.00 ,241.00 ,241.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,185.00 ,241.00 ,241.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,202000.00 ,202000.00 ,202000.00 ,202000.00 ,202000.00 ,202000.00 ,202000.00 ,202000.00 ,,,,,202000.00 ,202000.00 ,202000.00 ,202000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000531306,93.00 ,182.00 ,182.00 ,182.00 ,93.00 ,182.00 ,182.00 ,182.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,182.00 ,182.00 ,182.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,184000.00 ,184000.00 ,184000.00 ,184000.00 ,184000.00 ,184000.00 ,184000.00 ,184000.00 ,,,,,184000.00 ,184000.00 ,184000.00 ,184000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000566655,93.00 ,148.00 ,148.00 ,148.00 ,93.00 ,148.00 ,148.00 ,148.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,148.00 ,148.00 ,148.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,964000.00 ,964000.00 ,964000.00 ,964000.00 ,964000.00 ,964000.00 ,964000.00 ,964000.00 ,,,,,964000.00 ,964000.00 ,964000.00 ,964000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000556368,93.00 ,140.00 ,140.00 ,140.00 ,93.00 ,140.00 ,140.00 ,140.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,140.00 ,140.00 ,140.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,640000.00 ,640000.00 ,640000.00 ,640000.00 ,640000.00 ,640000.00 ,640000.00 ,640000.00 ,,,,,640000.00 ,640000.00 ,640000.00 ,640000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000583017,86.00 ,86.00 ,86.00 ,86.00 ,86.00 ,86.00 ,86.00 ,86.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.00 ,86.00 ,86.00 ,86.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,,,,,250000.00 ,250000.00 ,250000.00 ,250000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000138493,93.00 ,153.00 ,153.00 ,153.00 ,93.00 ,153.00 ,153.00 ,153.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,153.00 ,153.00 ,153.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,500000.00 ,500000.00 ,500000.00 ,500000.00 ,500000.00 ,500000.00 ,500000.00 ,500000.00 ,,,,,500000.00 ,500000.00 ,500000.00 ,500000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000553012,65.00 ,65.00 ,65.00 ,65.00 ,65.00 ,65.00 ,65.00 ,65.00 ,47.00 ,47.00 ,47.00 ,47.00 ,18.00 ,18.00 ,18.00 ,18.00 ,47.00 ,47.00 ,47.00 ,47.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,348.00 ,348.00 ,348.00 ,348.00 ,348.00 ,348.00 ,348.00 ,348.00 ,20191231,1500000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1500000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,0.28 ,0.28 ,0.28 ,0.28 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,0.00 ,0.00 ,0.00 ,0.00 ,,,,,
