"req_id","customerid","businessid"
"12021061910290965723","4500385456",TCL20210600001512
"12021061818000965707","4500382056",TCL20210600001500
"12021061817460965680","3001358590",TCL20210600001504
"12021061815220965646","4003517282",TCL20210600001473
"12021061816140965660","3001256731",TCL20210600001486
"12021061813460965623","4500384252",TCL20210600001464
"12021061810520965572","3000652224",TCL20210600001433
"12021061815200965614","3000669591",TCL20210600001472
"12021061811500965602","4500383858",TCL20210600001446
"12021061810250965545","3000938583",TCL20210600001427
"12021061811000965553","3000430144",TCL20210600001435
"12021061817460965701","3001336979",TCL20210600001507
"12021061815460965649","4500384573",TCL20210600001477
"12021061719090965520","4500383058",TCL20210600001415
"12021061711550965431","4011684601",TCL20210600001340
"12021061716460965523","4500382850",TCL20210600001390
"12021061716030965506","4500382761",TCL20210600001383
"12021061709430965364","3001316663",TCL20210600001308
"12021061714560965472","3000613273",TCL20210600001366
"12021061715080965473","4004603319",TCL20210600001367
"12021061711330965397","3000632935",TCL20210600001329
"12021061712160965447","4500382186",TCL20210600001344
"12021061717520965531","4500382929",TCL20210600001409
"12021061716350965499","4500382544",TCL20210600001364
"12021061712060965446","3000988635",TCL20210600001342
"12021061711380965398","3000420197",TCL20210600001332
"12021061616410965343","4005404597",TCL20210600001284
"12021061612460965287","4006407168",TCL20210600001236
"12021061612260965269","4001537041",TCL20210600001241
"12021061616410965329","3000667837",TCL20210600001285
"12021061611130965237","4500380070",TCL20210600001221
"12021061610270965210","3000615640",TCL20210600001168
"12021061618000965335","3000234818",TCL20210600001286
"12021061614450965304","3000319431",TCL20210600001264
"12021061618170965355","4500381090",TCL20210600001299
"12021061515380965120","3000844702",TCL20210600001148
"12021061512240965102","3000430144",TCL20210600001127
"12021061511260965070","4500377994",TCL20210600001119
"12021061517000965164","4500378855",TCL20210600001170
"12021061510510965047","4500377935",TCL20210600001109
"12021061510410965039","3000523021",TCL20210600001108
"12021061520170965189","4500379145",TCL20210600001192
"12021061511470965076","4500378071",TCL20210600001122
"12021061511040965050","4500377967",TCL20210600001113
"12021061512040965077","4500378106",TCL20210600001123
"12021061512280965094","3000566518",TCL20210600001129
"12021061518030965181","3000426751",TCL20210600001182
"12021061522580965195","4500379558",TCL20210600001197
"12021061511320965072","3001345246",TCL20210600001121
"12021061311560964976","4500374500",TCL20210600001090
"12021061209470964837","4500370644",TCL20210600001038
"12021061211390964925","4500372104",TCL20210600001069
