"yd_var","yd_var_name","var"
yd_zxdtemaxst3mlaccpr,信用卡产品下最近3个月最大逾期期数,zxdtemaxst3mlaccpr
yd_zxdtemaxst6mlaccpr,信用卡产品下最近6个月最大逾期期数,zxdtemaxst6mlaccpr
yd_zxdtemaxst9mlaccpr,信用卡产品下最近9个月最大逾期期数,zxdtemaxst9mlaccpr
yd_zxdtemaxst12mlaccpr,信用卡产品下最近12个月最大逾期期数,zxdtemaxst12mlaccpr
yd_zxdtemaxst24mlaccpr,信用卡产品下最近24个月最大逾期期数,zxdtemaxst24mlaccpr
yd_zxdtemaxst36mlaccpr,信用卡产品下最近36个月最大逾期期数,zxdtemaxst36mlaccpr
yd_zxdtemaxst48mlaccpr,信用卡产品下最近48个月最大逾期期数,zxdtemaxst48mlaccpr
yd_zxdtemaxst60mlaccpr,信用卡产品下最近60个月最大逾期期数,zxdtemaxst60mlaccpr
yd_zxdteminst1mlaccpr,信用卡产品下最近1个月最小逾期期数,zxdteminst1mlaccpr
yd_zxdteminst3mlaccpr,信用卡产品下最近3个月最小逾期期数,zxdteminst3mlaccpr
yd_zxdteminst6mlaccpr,信用卡产品下最近6个月最小逾期期数,zxdteminst6mlaccpr
yd_zxdteminst9mlaccpr,信用卡产品下最近9个月最小逾期期数,zxdteminst9mlaccpr
yd_zxdteminst12mlaccpr,信用卡产品下最近12个月最小逾期期数,zxdteminst12mlaccpr
yd_zxdteminst24mlaccpr,信用卡产品下最近24个月最小逾期期数,zxdteminst24mlaccpr
yd_zxdteminst36mlaccpr,信用卡产品下最近36个月最小逾期期数,zxdteminst36mlaccpr
yd_zxdteminst48mlaccpr,信用卡产品下最近48个月最小逾期期数,zxdteminst48mlaccpr
yd_zxdteminst60mlaccpr,信用卡产品下最近60个月最小逾期期数,zxdteminst60mlaccpr
yd_zxdtemaxst1mlccpr,贷记卡产品下最近1个月最大逾期期数,zxdtemaxst1mlccpr
yd_zxdtemaxst3mlccpr,贷记卡产品下最近3个月最大逾期期数,zxdtemaxst3mlccpr
yd_zxdtemaxst6mlccpr,贷记卡产品下最近6个月最大逾期期数,zxdtemaxst6mlccpr
yd_zxdtemaxst9mlccpr,贷记卡产品下最近9个月最大逾期期数,zxdtemaxst9mlccpr
yd_zxdtemaxst12mlccpr,贷记卡产品下最近12个月最大逾期期数,zxdtemaxst12mlccpr
yd_zxdtemaxst24mlccpr,贷记卡产品下最近24个月最大逾期期数,zxdtemaxst24mlccpr
yd_zxdtemaxst36mlccpr,贷记卡产品下最近36个月最大逾期期数,zxdtemaxst36mlccpr
yd_zxdtemaxst48mlccpr,贷记卡产品下最近48个月最大逾期期数,zxdtemaxst48mlccpr
yd_zxdtemaxst60mlccpr,贷记卡产品下最近60个月最大逾期期数,zxdtemaxst60mlccpr
yd_zxdteminst1mlccpr,贷记卡产品下最近1个月最小逾期期数,zxdteminst1mlccpr
yd_zxdteminst3mlccpr,贷记卡产品下最近3个月最小逾期期数,zxdteminst3mlccpr
yd_zxdteminst6mlccpr,贷记卡产品下最近6个月最小逾期期数,zxdteminst6mlccpr
yd_zxdteminst9mlccpr,贷记卡产品下最近9个月最小逾期期数,zxdteminst9mlccpr
yd_zxdteminst12mlccpr,贷记卡产品下最近12个月最小逾期期数,zxdteminst12mlccpr
yd_zxdteminst24mlccpr,贷记卡产品下最近24个月最小逾期期数,zxdteminst24mlccpr
yd_zxdteminst36mlccpr,贷记卡产品下最近36个月最小逾期期数,zxdteminst36mlccpr
yd_zxdteminst48mlccpr,贷记卡产品下最近48个月最小逾期期数,zxdteminst48mlccpr
yd_zxdteminst60mlccpr,贷记卡产品下最近60个月最小逾期期数,zxdteminst60mlccpr
yd_zxdtemaxst1mlqccpr,准贷记卡产品下最近1个月最大逾期期数,zxdtemaxst1mlqccpr
yd_zxdtemaxst3mlqccpr,准贷记卡产品下最近3个月最大逾期期数,zxdtemaxst3mlqccpr
yd_zxdtemaxst6mlqccpr,准贷记卡产品下最近6个月最大逾期期数,zxdtemaxst6mlqccpr
yd_zxdtemaxst9mlqccpr,准贷记卡产品下最近9个月最大逾期期数,zxdtemaxst9mlqccpr
yd_zxdtemaxst12mlqccpr,准贷记卡产品下最近12个月最大逾期期数,zxdtemaxst12mlqccpr
yd_zxdtemaxst24mlqccpr,准贷记卡产品下最近24个月最大逾期期数,zxdtemaxst24mlqccpr
yd_zxdtemaxst36mlqccpr,准贷记卡产品下最近36个月最大逾期期数,zxdtemaxst36mlqccpr
yd_zxdtemaxst48mlqccpr,准贷记卡产品下最近48个月最大逾期期数,zxdtemaxst48mlqccpr
yd_zxdtemaxst60mlqccpr,准贷记卡产品下最近60个月最大逾期期数,zxdtemaxst60mlqccpr
yd_zxdteminst1mlqccpr,准贷记卡产品下最近1个月最小逾期期数,zxdteminst1mlqccpr
yd_zxdteminst3mlqccpr,准贷记卡产品下最近3个月最小逾期期数,zxdteminst3mlqccpr
yd_zxdteminst6mlqccpr,准贷记卡产品下最近6个月最小逾期期数,zxdteminst6mlqccpr
yd_zxdteminst9mlqccpr,准贷记卡产品下最近9个月最小逾期期数,zxdteminst9mlqccpr
yd_zxdteminst12mlqccpr,准贷记卡产品下最近12个月最小逾期期数,zxdteminst12mlqccpr
